year,period,period_type,period_number,period_order,crop_group,crop_subtype,is_aggregate,region,province,volume_mt,area_ha
1990,Quarter 1,quarter,1,1,Corn,White,0,BARMM,Basilan,271.0,630.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,BARMM,Basilan,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,BARMM,Basilan,1243.0,760.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,BARMM,Basilan,443.0,420.0
1990,Quarter 1,quarter,1,1,Corn,White,0,BARMM,Lanao del Sur,24880.0,25650.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,BARMM,Lanao del Sur,12780.0,4410.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,BARMM,Lanao del Sur,1090.0,230.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,BARMM,Lanao del Sur,10732.0,4090.0
1990,Quarter 1,quarter,1,1,Corn,White,0,BARMM,Maguindanao del Norte,,
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,BARMM,Maguindanao del Norte,,
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,BARMM,Maguindanao del Norte,,
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,BARMM,Maguindanao del Norte,,
1990,Quarter 1,quarter,1,1,Corn,White,0,BARMM,Maguindanao del Sur,40515.0,23260.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,BARMM,Maguindanao del Sur,19254.0,24060.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,BARMM,Maguindanao del Sur,19797.0,7050.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,BARMM,Maguindanao del Sur,5185.0,3770.0
1990,Quarter 1,quarter,1,1,Corn,White,0,BARMM,Sulu,746.0,970.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,BARMM,Sulu,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,BARMM,Sulu,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,BARMM,Sulu,0.0,0.0
1990,Quarter 1,quarter,1,1,Corn,White,0,BARMM,Tawi-Tawi,250.0,380.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,BARMM,Tawi-Tawi,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,BARMM,Tawi-Tawi,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,BARMM,Tawi-Tawi,0.0,0.0
1990,Quarter 1,quarter,1,1,Corn,White,0,CAR,Abra,862.0,1190.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,CAR,Abra,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,CAR,Abra,1711.0,1020.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,CAR,Abra,0.0,0.0
1990,Quarter 1,quarter,1,1,Corn,White,0,CAR,Apayao,0.0,0.0
1990,Quarter 1,quarter,1,1,Corn,Yellow,0,CAR,Apayao,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Irrigated,0,CAR,Apayao,0.0,0.0
1990,Quarter 1,quarter,1,1,Palay,Rainfed,0,CAR,Apayao,0.0,0.0
1990,Quarter 1,quarter,1,1,Corn,White,0,CAR,Benguet,0.0,0.0
